LOCATION_NAME,RESTAURANT_NAME,NUMBER_OF_ORDERS,AVG_PLACED,AVG_ARRIVED,AVG_ENROUTE,AVG_PLACED_ARRIVED,AVG_ARR_ENROUTE,AVG_DELIVERED,AVG_DEL_TIME,AVG_DISTANCE,AVG_PREP_TIME,ON_TIME
"Jacksonville, NC","McDonald's","328","0.73","0.78","0.39","0.03","0.69","17.55","53.92","6.8029878048781","30","69.51"
"Jacksonville, NC","Chick-fil-A","288","1.39","1.52","1.01","0.19","1.20","20.66","59.19","8.0167708333333","30","91.32"
"Jacksonville, NC","Wendy's","5","0.40","0.00","0.00","0.00","0.00","15.60","52.40","5.258","19","60"
"Jacksonville, NC","Papa John's","23","4.70","24.26","22.78","17.35","5.43","9.78","39.48","2.124347826087","30","91.3"
"Jacksonville, NC","Tony's Pizza","38","6.47","29.42","30.11","22.58","7.53","17.92","54.87","7.965","30","78.95"
"Jacksonville, NC","Wing Zone $2 OFF DELIVERY FEE","52","9.83","35.15","31.69","25.33","6.37","17.69","59.21","8.1626923076923","30","73.08"
"Jacksonville, NC","Peno","42","8.95","31.26","26.86","22.31","4.55","24.67","60.48","10.16","30","61.9"
"Jacksonville, NC","Sonic","124","0.33","0.59","0.08","0.00","0.44","19.12","58.57","8.9504838709677","30","72.58"
"Jacksonville, NC","Jersey Mikes","97","5.30","26.24","26.29","19.57","6.72","17.76","50.91","8.0223711340206","30","86.6"
"Jacksonville, NC","Zaxby's","190","5.53","30.88","30.81","23.11","7.71","26.25","64.84","11.043947368421","30","60.53"
"Jacksonville, NC","Carolina Ale House","51","5.18","31.24","36.71","23.47","13.24","24.29","68.76","10.904901960784","30","78.43"
"Jacksonville, NC","Logan's Roadhouse","38","5.42","30.84","32.37","24.58","7.79","22.00","60.63","9.6989473684211","45","73.68"
"Jacksonville, NC","Texas Roadhouse","141","5.82","37.55","43.30","29.57","13.74","18.45","69.74","8.4890780141844","60","53.19"
"Jacksonville, NC","Denny's","69","5.03","32.25","32.01","25.45","6.57","23.59","62.41","10.161014492754","30","76.81"
"Jacksonville, NC","Jimmy John's","27","1.15","1.33","1.19","0.00","1.22","24.59","59.37","8.1014814814815","30","74.07"
"Jacksonville, NC","Cookout","139","0.57","2.20","0.30","0.14","0.43","19.15","56.15","9.2160431654676","30","74.1"
"Jacksonville, NC","Popeye's","141","6.25","28.88","28.67","22.62","6.05","21.32","56.25","8.9491489361702","30","76.6"
"Jacksonville, NC","Five Guys","133","6.89","31.80","33.38","23.49","9.89","20.99","62.69","8.7260902255639","30","63.16"
"Jacksonville, NC","Moe's","195","5.56","30.44","29.84","23.31","6.53","22.11","59.36","8.7714871794872","30","71.28"
"Jacksonville, NC","Red Robin","47","6.68","32.87","32.68","24.87","7.81","21.53","62.21","8.1742553191489","30","72.34"
"Jacksonville, NC","Red Lobster","28","5.86","30.57","30.86","23.50","7.36","21.00","58.93","8.0992857142857","45","67.86"
"Jacksonville, NC","Clean Eatz","15","3.00","20.47","21.73","17.40","4.33","22.40","47.20","8.0006666666667","30","80"
"Jacksonville, NC","Taco Bell","4","0.75","0.00","0.00","0.00","0.00","11.50","39.25","4.1425","30","50"
"Jacksonville, NC","Taco Bell","72","0.72","0.50","0.00","0.00","0.00","15.78","55.92","7.7801388888889","30","81.94"
"Jacksonville, NC","McDonald's","69","0.77","0.03","0.03","0.00","0.06","18.30","65.83","7.3373913043478","30","63.77"
"Jacksonville, NC","Subway","46","1.50","0.17","0.28","0.00","1.07","18.00","63.74","7.1489130434783","30","71.74"
"Jacksonville, NC","Hardees","24","0.29","3.08","0.58","0.00","0.71","17.13","61.46","7.2591666666667","30","70.83"
"Jacksonville, NC","Hwy 55","22","15.55","44.82","25.50","24.50","1.00","19.41","65.23","7.3627272727273","30","77.27"
"Jacksonville, NC","Fazoli's","76","10.58","34.07","33.87","23.49","10.39","22.36","67.64","11.210526315789","30","55.26"
"Fayetteville, NC","Jersey Mike's","9","7.11","26.33","27.78","19.00","8.78","15.00","50.11","5.2611111111111","15","66.67"
"Fayetteville, NC","Fazoli's","4","5.75","33.50","31.00","27.75","3.25","24.50","61.25","6.49","15","75"
"Fayetteville, NC","Zaxby's","24","9.29","30.21","30.63","18.17","12.46","21.54","64.21","10.059166666667","30","41.67"
"Jacksonville, NC","Mai Tai Hibachi","108","3.95","29.89","35.96","25.94","10.03","17.61","57.53","7.5057407407407","30","76.85"
"Jacksonville, NC","Wendy's","128","0.44","1.09","0.62","0.12","0.61","11.55","42.49","2.51859375","20","86.72"
"Jacksonville, NC","Panda Express","177","0.75","1.42","0.44","0.20","0.81","12.39","42.32","2.5884745762712","30","88.14"
"Jacksonville, NC","Jimmy John's","45","1.16","1.02","0.84","0.33","0.60","9.36","39.38","2.0015555555556","30","77.78"
"Fayetteville, NC","Chick Fil A","30","1.50","2.47","0.60","0.00","0.77","23.87","60.93","9.518","20","63.33"
"Fayetteville, NC","McDonald's","19","0.42","0.37","0.16","0.11","0.05","20.11","51.63","7.8321052631579","15","68.42"
"Fayetteville, NC","Taco Bell","7","1.86","1.71","0.14","0.00","0.14","23.71","60.14","14.055714285714","15","57.14"
"Fayetteville, NC","Logans Road House","8","3.88","31.13","33.88","24.13","9.75","22.75","63.63","6.67625","30","50"
"Fayetteville, NC","Popeye's","14","1.07","0.00","0.00","0.00","0.00","27.36","67.57","11.222857142857","15","42.86"
"Fayetteville, NC","Moe's Southwest Grill","3","14.67","24.67","15.00","10.00","5.00","36.67","66.33","7.5466666666667","30","33.33"
"Fayetteville, NC","Texas Roadhouse","9","10.22","37.22","41.78","26.56","15.22","26.00","78.44","7.4666666666667","20","44.44"
"Fayetteville, NC","Wendy's","19","0.16","2.84","0.11","0.00","1.05","21.47","56.58","5.4868421052632","15","68.42"
"Fayetteville, NC","Clean Eatz","1","2.00","14.00","13.00","12.00","1.00","14.00","29.00","5.14","15","100"
"Fayetteville, NC","Carolina Ale House","2","10.00","11.50","25.00","1.50","23.50","20.00","55.00","5.79","15","100"
"Jacksonville, NC","Beer","51","0.25","0.00","0.00","0.00","0.00","24.24","61.14","7.8750980392157","30","60.78"
"Jacksonville, NC","Papa John's","15","3.80","31.07","31.33","24.33","7.00","13.53","51.60","3.8606666666667","30","66.67"
"Jacksonville, NC","Wendy's","120","1.30","1.18","0.17","0.00","0.61","7.98","36.38","0.98291666666667","30","80.83"
"Jacksonville, NC","Ocean Bay Seafood","13","5.85","27.46","28.38","21.62","6.77","16.00","50.23","4.3338461538462","30","92.31"
"Jacksonville, NC","Denny's","23","18.04","47.22","40.26","28.87","11.39","13.87","72.48","5.9530434782609","30","56.52"
"Fayetteville, NC","Panda Express","25","8.88","26.96","34.20","16.52","17.68","20.04","64.68","7.5344","30","52"
"Jacksonville, NC","Cancun Mexican Restaurant","89","13.40","46.45","37.61","30.16","7.45","17.22","71.12","7.5304494382022","30","62.92"
"Fayetteville, NC","Mi Casita","5","2.60","36.00","47.00","32.40","14.60","33.20","83.80","8.344","30","40"
"Jacksonville, NC","Taco Bell","210","0.84","0.98","0.08","0.00","0.49","15.80","50.36","4.0371904761905","30","80.95"
"Jacksonville, NC","McDonald's","253","0.60","0.62","0.32","0.00","0.53","15.61","53.00","4.092766798419","30","79.45"
"Jacksonville, NC","Cookout","129","0.35","0.40","0.33","0.00","0.37","15.50","49.47","3.9579069767442","30","86.05"
"Fayetteville, NC","Papa John's","6","6.83","20.67","21.67","13.00","8.67","20.17","49.50","5.66","30","83.33"
"Fayetteville, NC","Bubba's 33","7","12.57","31.00","32.14","18.43","13.71","17.71","62.43","7.6828571428571","30","57.14"
"Fayetteville, NC","Bad Daddy's Burger Bar","3","3.67","35.33","36.33","30.00","6.33","25.33","67.00","5.8566666666667","15","33.33"
"Fayetteville, NC","Burger King","28","2.46","4.36","0.07","0.00","1.11","22.14","55.54","13.874642857143","15","71.43"
"Jacksonville, NC","Burger King","63","0.90","1.32","0.21","0.00","0.70","15.27","52.13","4.3095238095238","15","88.89"
"Jacksonville, NC","Burger King","56","0.36","1.04","0.50","0.11","0.71","14.80","54.55","7.3628571428571","15","69.64"
"Havelock, NC","Wendy's","31","1.03","1.45","0.71","0.00","0.94","20.16","58.19","3.9106451612903","15","61.29"
"Havelock, NC","Taco Bell","42","1.26","0.69","0.00","0.00","0.52","11.79","38.38","2.7395238095238","15","76.19"
"Havelock, NC","Subway","21","0.90","0.38","0.05","0.00","0.14","12.38","39.76","2.5819047619048","15","76.19"
"Jacksonville, NC","Blaze Pizza","33","6.70","31.70","35.52","24.55","10.97","25.36","68.03","11.201818181818","20","78.79"
